textbox89,textbox9856,textbox25
Sélectionnez une période,01/01/2026 - 31/03/2026,ANNECY 2

marque4,Obj4,pdm4,real4,PdmReal4,Textbox301,textbox205,ObjectifCA,G4,Textbox68,textbox258,I4,JI5,Textbox90,J4,Textbox15,categorie4,textbox207,textbox208,Greal4,textbox209,Textbox303,textbox210,Textbox74,GG4,Textbox70,textbox274,GI4,GJI5,Textbox92,GJ4,Textbox17,textbox66,totalReal4,Textbox304,textbox215,ObjectifCA1,TG4,Textbox71,textbox262,TI4,TJI5,Textbox94,TJ4,Textbox18
MICHELIN,,,54,"8,4 %","-5,3 %",-3,,6 148,"-0,7 %",-43,,"592,53","9,64%",698,"11,35%",PREMIUM,,,258,"40,0 %","4,0 %",10,,25 903,"11,3 %",2 638,,"-283,85","-1,10%",2 631,"10,16%",,645,"19,2 %",104,,49 540,"27,3 %","10 625,17",,"300,24","0,61%",5 209,"10,52%"
PIRELLI,,,8,"1,2 %","0,0 %",8,,1 158,"0,0 %",1 158,,"-81,54","-7,04%",-32,"-2,76%",PREMIUM,,,258,"40,0 %","4,0 %",10,,25 903,"11,3 %",2 638,,"-283,85","-1,10%",2 631,"10,16%",,645,"19,2 %",104,,49 540,"27,3 %","10 625,17",,"300,24","0,61%",5 209,"10,52%"
AUTRE,,,38,"5,9 %","65,2 %",15,,3 181,"70,1 %",1 311,,"309,27","9,72%",329,"10,35%",MEDIUM,,,260,"40,3 %","59,5 %",97,,19 149,"73,4 %",8 106,,"915,80","4,78%",2 854,"14,90%",,645,"19,2 %",104,,49 540,"27,3 %","10 625,17",,"300,24","0,61%",5 209,"10,52%"
FEU VERT,,,119,"18,4 %","-1,7 %",-2,,7 653,"1,5 %",112,,"866,30","11,32%",1 803,"23,56%",MEDIUM,,,260,"40,3 %","59,5 %",97,,19 149,"73,4 %",8 106,,"915,80","4,78%",2 854,"14,90%",,645,"19,2 %",104,,49 540,"27,3 %","10 625,17",,"300,24","0,61%",5 209,"10,52%"
HANKOOK,,,83,"12,9 %","388,2 %",66,,7 055,"355,3 %",5 506,,"-224,20","-3,18%",673,"9,54%",MEDIUM,,,260,"40,3 %","59,5 %",97,,19 149,"73,4 %",8 106,,"915,80","4,78%",2 854,"14,90%",,645,"19,2 %",104,,49 540,"27,3 %","10 625,17",,"300,24","0,61%",5 209,"10,52%"
KUMHO,,,4,"0,6 %","0,0 %",4,,207,"0,0 %",207,,"19,27","9,30%",26,"12,48%",MEDIUM,,,260,"40,3 %","59,5 %",97,,19 149,"73,4 %",8 106,,"915,80","4,78%",2 854,"14,90%",,645,"19,2 %",104,,49 540,"27,3 %","10 625,17",,"300,24","0,61%",5 209,"10,52%"
NEXEN,,,16,"2,5 %","700,0 %",14,,1 052,"1 187,2 %",971,,"-54,84","-5,21%",23,"2,15%",MEDIUM,,,260,"40,3 %","59,5 %",97,,19 149,"73,4 %",8 106,,"915,80","4,78%",2 854,"14,90%",,645,"19,2 %",104,,49 540,"27,3 %","10 625,17",,"300,24","0,61%",5 209,"10,52%"
AUTRE,,,18,"2,8 %","0,0 %",18,,713,"0,0 %",713,,"59,91","8,40%",63,"8,81%",BUDGET,,,127,"19,7 %","-2,3 %",-3,,4 489,"-2,6 %",-119,,"-331,71","-7,39%",-275,"-6,13%",,645,"19,2 %",104,,49 540,"27,3 %","10 625,17",,"300,24","0,61%",5 209,"10,52%"
ROVELO,,,81,"12,6 %","-15,6 %",-15,,2 435,"-21,7 %",-675,,"-431,19","-17,71%",-431,"-17,71%",BUDGET,,,127,"19,7 %","-2,3 %",-3,,4 489,"-2,6 %",-119,,"-331,71","-7,39%",-275,"-6,13%",,645,"19,2 %",104,,49 540,"27,3 %","10 625,17",,"300,24","0,61%",5 209,"10,52%"
TRACMAX,,,28,"4,3 %","-17,6 %",-6,,1 342,"-10,5 %",-157,,"39,57","2,95%",93,"6,93%",BUDGET,,,127,"19,7 %","-2,3 %",-3,,4 489,"-2,6 %",-119,,"-331,71","-7,39%",-275,"-6,13%",,645,"19,2 %",104,,49 540,"27,3 %","10 625,17",,"300,24","0,61%",5 209,"10,52%"
