textbox89,textbox9856,textbox25
Sélectionnez une période,15/06/2026 - 21/06/2026,ANNECY 2

marque4,Obj4,pdm4,real4,PdmReal4,Textbox301,textbox205,ObjectifCA,G4,Textbox68,textbox258,I4,JI5,Textbox90,J4,Textbox15,categorie4,textbox207,textbox208,Greal4,textbox209,Textbox303,textbox210,Textbox74,GG4,Textbox70,textbox274,GI4,GJI5,Textbox92,GJ4,Textbox17,textbox66,totalReal4,Textbox304,textbox215,ObjectifCA1,TG4,Textbox71,textbox262,TI4,TJI5,Textbox94,TJ4,Textbox18

marque2,Obj2,pdm6,real2,PdmReal2,Textbox307,textbox189,Textbox101,G2,Textbox77,textbox256,I2,JI4,Textbox99,J2,Textbox3,categorie2,textbox191,textbox286,Greal2,textbox193,Textbox309,textbox194,Textbox102,GG2,Textbox80,textbox268,GI2,GJI4,Textbox104,GJ2,Textbox5,textbox33,totalReal2,Textbox310,textbox195,Textbox105,TG2,Textbox81,textbox260,TI2,TJI4,Textbox276,TJ2,Textbox6
AUTRE,,,,,"0,0 %",0,,,"0,0 %",0,,,-,,-,PREMIUM,,,8,"21,6 %","-50,0 %",-8,,742,"-55,2 %",-913,,"5,30","0,71%",89,"12,03%",,37,"2,8 %",1,,2 637,"-15,9 %","-498,61",,"281,07","10,66%",458,"17,35%"
CONTINENTAL,,,6,"16,2 %","-50,0 %",-6,,513,"-53,1 %",-581,,"-11,41","-2,22%",69,"13,36%",PREMIUM,,,8,"21,6 %","-50,0 %",-8,,742,"-55,2 %",-913,,"5,30","0,71%",89,"12,03%",,37,"2,8 %",1,,2 637,"-15,9 %","-498,61",,"281,07","10,66%",458,"17,35%"
GOODYEAR,,,,,"0,0 %",0,,,"0,0 %",0,,,-,,-,PREMIUM,,,8,"21,6 %","-50,0 %",-8,,742,"-55,2 %",-913,,"5,30","0,71%",89,"12,03%",,37,"2,8 %",1,,2 637,"-15,9 %","-498,61",,"281,07","10,66%",458,"17,35%"
MICHELIN,,,2,"5,4 %","-50,0 %",-2,,230,"-59,1 %",-332,,"16,71","7,28%",21,"9,04%",PREMIUM,,,8,"21,6 %","-50,0 %",-8,,742,"-55,2 %",-913,,"5,30","0,71%",89,"12,03%",,37,"2,8 %",1,,2 637,"-15,9 %","-498,61",,"281,07","10,66%",458,"17,35%"
PIRELLI,,,,,"0,0 %",0,,,"0,0 %",0,,,-,,-,PREMIUM,,,8,"21,6 %","-50,0 %",-8,,742,"-55,2 %",-913,,"5,30","0,71%",89,"12,03%",,37,"2,8 %",1,,2 637,"-15,9 %","-498,61",,"281,07","10,66%",458,"17,35%"
AUTRE,,,4,"10,8 %","100,0 %",2,,433,"151,7 %",261,,"57,84","13,36%",58,"13,36%",MEDIUM,,,21,"56,8 %","50,0 %",7,,1 550,"32,3 %",379,,"237,40","15,31%",330,"21,28%",,37,"2,8 %",1,,2 637,"-15,9 %","-498,61",,"281,07","10,66%",458,"17,35%"
FEU VERT,,,6,"16,2 %","0,0 %",0,,553,"5,4 %",28,,"141,23","25,55%",198,"35,82%",MEDIUM,,,21,"56,8 %","50,0 %",7,,1 550,"32,3 %",379,,"237,40","15,31%",330,"21,28%",,37,"2,8 %",1,,2 637,"-15,9 %","-498,61",,"281,07","10,66%",458,"17,35%"
HANKOOK,,,3,"8,1 %","-50,0 %",-3,,220,"-53,7 %",-255,,"24,31","11,06%",48,"22,03%",MEDIUM,,,21,"56,8 %","50,0 %",7,,1 550,"32,3 %",379,,"237,40","15,31%",330,"21,28%",,37,"2,8 %",1,,2 637,"-15,9 %","-498,61",,"281,07","10,66%",458,"17,35%"
KUMHO,,,8,"21,6 %","0,0 %",8,,345,"0,0 %",345,,"14,02","4,07%",26,"7,43%",MEDIUM,,,21,"56,8 %","50,0 %",7,,1 550,"32,3 %",379,,"237,40","15,31%",330,"21,28%",,37,"2,8 %",1,,2 637,"-15,9 %","-498,61",,"281,07","10,66%",458,"17,35%"
NEXEN,,,,,"0,0 %",0,,,"0,0 %",0,,,-,,-,MEDIUM,,,21,"56,8 %","50,0 %",7,,1 550,"32,3 %",379,,"237,40","15,31%",330,"21,28%",,37,"2,8 %",1,,2 637,"-15,9 %","-498,61",,"281,07","10,66%",458,"17,35%"
AUTRE,,,,,"-100,0 %",-6,,,"-100,0 %",-309,,,-,,-,BUDGET,,,8,"21,6 %","33,3 %",2,,344,"11,5 %",36,,"38,37","11,15%",38,"11,15%",,37,"2,8 %",1,,2 637,"-15,9 %","-498,61",,"281,07","10,66%",458,"17,35%"
ROVELO,,,8,"21,6 %","0,0 %",8,,344,"0,0 %",344,,"38,37","11,15%",38,"11,15%",BUDGET,,,8,"21,6 %","33,3 %",2,,344,"11,5 %",36,,"38,37","11,15%",38,"11,15%",,37,"2,8 %",1,,2 637,"-15,9 %","-498,61",,"281,07","10,66%",458,"17,35%"
SAILUN,,,,,"0,0 %",0,,,"0,0 %",0,,,-,,-,BUDGET,,,8,"21,6 %","33,3 %",2,,344,"11,5 %",36,,"38,37","11,15%",38,"11,15%",,37,"2,8 %",1,,2 637,"-15,9 %","-498,61",,"281,07","10,66%",458,"17,35%"

