textbox89,textbox9856,textbox25
Sélectionnez une période,18/05/2026 - 24/05/2026,ANNECY 2

marque4,Obj4,pdm4,real4,PdmReal4,Textbox301,textbox205,ObjectifCA,G4,Textbox68,textbox258,I4,JI5,Textbox90,J4,Textbox15,categorie4,textbox207,textbox208,Greal4,textbox209,Textbox303,textbox210,Textbox74,GG4,Textbox70,textbox274,GI4,GJI5,Textbox92,GJ4,Textbox17,textbox66,totalReal4,Textbox304,textbox215,ObjectifCA1,TG4,Textbox71,textbox262,TI4,TJI5,Textbox94,TJ4,Textbox18

marque2,Obj2,pdm6,real2,PdmReal2,Textbox307,textbox189,Textbox101,G2,Textbox77,textbox256,I2,JI4,Textbox99,J2,Textbox3,categorie2,textbox191,textbox286,Greal2,textbox193,Textbox309,textbox194,Textbox102,GG2,Textbox80,textbox268,GI2,GJI4,Textbox104,GJ2,Textbox5,textbox33,totalReal2,Textbox310,textbox195,Textbox105,TG2,Textbox81,textbox260,TI2,TJI4,Textbox276,TJ2,Textbox6
AUTRE,,,2,"4,9 %","0,0 %",2,,193,"0,0 %",193,,"-5,19","-2,69%",-1,"-0,63%",PREMIUM,,,14,"34,1 %","-26,3 %",-5,,1 652,"0,7 %",11,,"123,81","7,49%",245,"14,83%",,41,"51,9 %",14,,3 328,"58,8 %","1 231,82",,"183,22","5,50%",439,"13,20%"
CONTINENTAL,,,6,"14,6 %","0,0 %",0,,703,"56,9 %",255,,"13,63","1,94%",119,"16,89%",PREMIUM,,,14,"34,1 %","-26,3 %",-5,,1 652,"0,7 %",11,,"123,81","7,49%",245,"14,83%",,41,"51,9 %",14,,3 328,"58,8 %","1 231,82",,"183,22","5,50%",439,"13,20%"
GOODYEAR,,,,,"-100,0 %",-4,,,"-100,0 %",-288,,,-,,-,PREMIUM,,,14,"34,1 %","-26,3 %",-5,,1 652,"0,7 %",11,,"123,81","7,49%",245,"14,83%",,41,"51,9 %",14,,3 328,"58,8 %","1 231,82",,"183,22","5,50%",439,"13,20%"
MICHELIN,,,6,"14,6 %","20,0 %",1,,756,"59,8 %",283,,"115,37","15,26%",128,"16,87%",PREMIUM,,,14,"34,1 %","-26,3 %",-5,,1 652,"0,7 %",11,,"123,81","7,49%",245,"14,83%",,41,"51,9 %",14,,3 328,"58,8 %","1 231,82",,"183,22","5,50%",439,"13,20%"
PIRELLI,,,,,"-100,0 %",-4,,,"-100,0 %",-432,,,-,,-,PREMIUM,,,14,"34,1 %","-26,3 %",-5,,1 652,"0,7 %",11,,"123,81","7,49%",245,"14,83%",,41,"51,9 %",14,,3 328,"58,8 %","1 231,82",,"183,22","5,50%",439,"13,20%"
AUTRE,,,,,"0,0 %",0,,,"0,0 %",0,,,-,,-,MEDIUM,,,15,"36,6 %","275,0 %",11,,961,"254,9 %",690,,"-61,69","-6,42%",69,"7,21%",,41,"51,9 %",14,,3 328,"58,8 %","1 231,82",,"183,22","5,50%",439,"13,20%"
FEU VERT,,,6,"14,6 %","200,0 %",4,,392,"183,8 %",254,,"57,83","14,75%",104,"26,51%",MEDIUM,,,15,"36,6 %","275,0 %",11,,961,"254,9 %",690,,"-61,69","-6,42%",69,"7,21%",,41,"51,9 %",14,,3 328,"58,8 %","1 231,82",,"183,22","5,50%",439,"13,20%"
HANKOOK,,,9,"22,0 %","350,0 %",7,,569,"329,0 %",436,,"-119,52","-21,01%",-35,"-6,09%",MEDIUM,,,15,"36,6 %","275,0 %",11,,961,"254,9 %",690,,"-61,69","-6,42%",69,"7,21%",,41,"51,9 %",14,,3 328,"58,8 %","1 231,82",,"183,22","5,50%",439,"13,20%"
KUMHO,,,,,"0,0 %",0,,,"0,0 %",0,,,-,,-,MEDIUM,,,15,"36,6 %","275,0 %",11,,961,"254,9 %",690,,"-61,69","-6,42%",69,"7,21%",,41,"51,9 %",14,,3 328,"58,8 %","1 231,82",,"183,22","5,50%",439,"13,20%"
NEXEN,,,,,"0,0 %",0,,,"0,0 %",0,,,-,,-,MEDIUM,,,15,"36,6 %","275,0 %",11,,961,"254,9 %",690,,"-61,69","-6,42%",69,"7,21%",,41,"51,9 %",14,,3 328,"58,8 %","1 231,82",,"183,22","5,50%",439,"13,20%"
AUTRE,,,,,"0,0 %",0,,,"0,0 %",0,,,-,,-,BUDGET,,,12,"29,3 %","200,0 %",8,,715,"287,2 %",530,,"121,10","16,93%",125,"17,46%",,41,"51,9 %",14,,3 328,"58,8 %","1 231,82",,"183,22","5,50%",439,"13,20%"
ROVELO,,,10,"24,4 %","0,0 %",10,,624,"0,0 %",624,,"120,86","19,38%",121,"19,38%",BUDGET,,,12,"29,3 %","200,0 %",8,,715,"287,2 %",530,,"121,10","16,93%",125,"17,46%",,41,"51,9 %",14,,3 328,"58,8 %","1 231,82",,"183,22","5,50%",439,"13,20%"
TRACMAX,,,2,"4,9 %","-50,0 %",-2,,92,"-50,5 %",-93,,"0,24","0,26%",4,"4,35%",BUDGET,,,12,"29,3 %","200,0 %",8,,715,"287,2 %",530,,"121,10","16,93%",125,"17,46%",,41,"51,9 %",14,,3 328,"58,8 %","1 231,82",,"183,22","5,50%",439,"13,20%"

